,Unnamed: 0,Ingredient,Similar Ingredient,Word2Vec Value
552,552,국수,실파,0.8763980865478516
992,992,파슬리가루,대파,0.8763662576675415
993,993,파슬리가루,후춧가루,0.8760043978691101
1571,1571,고구마,다진마늘,0.8758772611618042
1543,1543,국멸치,설탕,0.8755850791931152
1561,1561,레몬,양파,0.8753697872161865
994,994,파슬리가루,설탕,0.8753592967987059
1544,1544,국멸치,간장,0.8750414252281189
400,400,완두콩,다진마늘,0.8750212788581848
1562,1562,레몬,설탕,0.8747467994689941
1572,1572,고구마,설탕,0.8745874166488647
1563,1563,레몬,다진마늘,0.8744053840637207
1564,1564,레몬,간장,0.8734118938446045
401,401,완두콩,참기름,0.8732807636260986
1573,1573,고구마,홍고추,0.8731410503387451
402,402,완두콩,설탕,0.8729899525642395
